k,O,sigma
24999999999999996.00000000,0.00871443,0.00200000
20298850745790148.00000000,0.01371987,0.00200000
16481733663994580.00000000,0.01786551,0.00200000
13382410067091642.00000000,0.02184002,0.00200000
10865901782834090.00000000,0.02630313,0.00200000
8822612740326573.00000000,0.02564895,0.00200000
7163555968151831.00000000,0.02417779,0.00200000
5816478136265120.00000000,0.01983738,0.00200000
4722712862167894.00000000,0.00842117,0.00200000
3834625740174780.00000000,0.00247044,0.00200000
3113539822630911.50000000,0.00198032,0.00200000
2528051206026352.50000000,0.00089009,0.00200000
2052661364353745.00000000,0.00023004,0.00200000
1666666666666665.75000000,-0.00185974,0.00200000
