k,O,sigma
24999999999999996.00000000,0.01083146,0.00200000
20298850745790148.00000000,0.01779358,0.00200000
16481733663994580.00000000,0.02032880,0.00200000
13382410067091642.00000000,0.02861127,0.00200000
10865901782834090.00000000,0.03021315,0.00200000
8822612740326573.00000000,0.03196123,0.00200000
7163555968151831.00000000,0.02638841,0.00200000
5816478136265120.00000000,0.02097601,0.00200000
4722712862167894.00000000,0.00922209,0.00200000
3834625740174780.00000000,0.00518176,0.00200000
3113539822630911.50000000,0.00156430,0.00200000
2528051206026352.50000000,-0.00015347,0.00200000
2052661364353745.00000000,-0.00500951,0.00200000
1666666666666665.75000000,-0.00107589,0.00200000
