k,O,sigma
20000000000000.00390625,0.00007057,0.00001000
14034076573407.64453125,0.00008147,0.00001000
9847765263413.48437500,0.00007689,0.00001000
6910214589184.43750000,0.00005516,0.00001000
4848924034164.66210938,0.00005152,0.00001000
3402508559705.17871094,0.00003082,0.00001000
2387553283428.87207031,0.00002233,0.00001000
1675355280136.58496094,0.00000686,0.00001000
1175603214454.98242188,0.00001071,0.00001000
824925276580.26977539,-0.00001708,0.00001000
578853224943.35046387,0.00001626,0.00001000
406183524180.94696045,-0.00000071,0.00001000
285020534060.59930420,0.00000691,0.00001000
200000000000.00003052,-0.00000132,0.00001000
