k,O,sigma
20000000000000.00390625,0.00008400,0.00001000
14034076573407.64453125,0.00008947,0.00001000
9847765263413.48437500,0.00008904,0.00001000
6910214589184.43750000,0.00007331,0.00001000
4848924034164.66210938,0.00006659,0.00001000
3402508559705.17871094,0.00005198,0.00001000
2387553283428.87207031,0.00001208,0.00001000
1675355280136.58496094,-0.00000587,0.00001000
1175603214454.98242188,0.00000800,0.00001000
824925276580.26977539,-0.00000496,0.00001000
578853224943.35046387,-0.00001846,0.00001000
406183524180.94696045,-0.00000783,0.00001000
285020534060.59930420,-0.00000454,0.00001000
200000000000.00003052,-0.00001188,0.00001000
