d_m,d_nm,d_hat,k_per_m,k_per_nm,xi_m,rho_in,grad_ratio_wall,grad_ratio_mid,chi_wall,chi_bulk
4.000000e-08,40.000000,8.000000e-01,2.500000e+07,2.500000e-02,5.000000e-08,6.732955e+19,6.409677e-01,3.582621e-01,2.490298e-01,7.259974e-02
4.287619e-08,42.876189,8.575238e-01,2.332297e+07,2.332297e-02,5.000000e-08,6.732955e+19,6.735936e-01,3.814117e-01,2.727761e-01,8.378215e-02
4.595919e-08,45.959190,9.191838e-01,2.175843e+07,2.175843e-02,5.000000e-08,6.732955e+19,7.058655e-01,4.052180e-01,2.964113e-01,9.606100e-02
4.926387e-08,49.263873,9.852775e-01,2.029885e+07,2.029885e-02,5.000000e-08,6.732955e+19,7.374731e-01,4.294979e-01,3.195728e-01,1.093532e-01
5.280618e-08,52.806178,1.056124e+00,1.893718e+07,1.893718e-02,5.000000e-08,6.732955e+19,7.680977e-01,4.540139e-01,3.419170e-01,1.235098e-01
5.660319e-08,56.603192,1.132064e+00,1.766685e+07,1.766685e-02,5.000000e-08,6.732955e+19,7.974236e-01,4.784678e-01,3.631365e-01,1.383082e-01
6.067323e-08,60.673229,1.213465e+00,1.648173e+07,1.648173e-02,5.000000e-08,6.732955e+19,8.251514e-01,5.024971e-01,3.829724e-01,1.534482e-01
6.503592e-08,65.035921,1.300718e+00,1.537612e+07,1.537612e-02,5.000000e-08,6.732955e+19,8.510122e-01,5.256731e-01,4.012242e-01,1.685540e-01
6.971231e-08,69.712311,1.394246e+00,1.434467e+07,1.434467e-02,5.000000e-08,6.732955e+19,8.747810e-01,5.475049e-01,4.177532e-01,1.831836e-01
7.472496e-08,74.724956,1.494499e+00,1.338241e+07,1.338241e-02,5.000000e-08,6.732955e+19,8.962882e-01,5.674469e-01,4.324831e-01,1.968434e-01
8.009803e-08,80.098033,1.601961e+00,1.248470e+07,1.248470e-02,5.000000e-08,6.732955e+19,9.154283e-01,5.849138e-01,4.453963e-01,2.090099e-01
8.585746e-08,85.857461,1.717149e+00,1.164721e+07,1.164721e-02,5.000000e-08,6.732955e+19,9.321646e-01,5.993011e-01,4.565280e-01,2.191546e-01
9.203102e-08,92.031018,1.840620e+00,1.086590e+07,1.086590e-02,5.000000e-08,6.732955e+19,9.465293e-01,6.100123e-01,4.659585e-01,2.267706e-01
9.864848e-08,98.648483,1.972970e+00,1.013700e+07,1.013700e-02,5.000000e-08,6.732955e+19,9.586189e-01,6.164895e-01,4.738040e-01,2.313997e-01
1.057418e-07,105.741775,2.114836e+00,9.457000e+06,9.457000e-03,5.000000e-08,6.732955e+19,9.685857e-01,6.182481e-01,4.802076e-01,2.326593e-01
1.133451e-07,113.345109,2.266902e+00,8.822613e+06,8.822613e-03,5.000000e-08,6.732955e+19,9.766255e-01,6.149091e-01,4.853300e-01,2.302687e-01
1.214952e-07,121.495158,2.429903e+00,8.230781e+06,8.230781e-03,5.000000e-08,6.732955e+19,9.829639e-01,6.062299e-01,4.893410e-01,2.240755e-01
1.302312e-07,130.231234,2.604625e+00,7.678650e+06,7.678650e-03,5.000000e-08,6.732955e+19,9.878414e-01,5.921274e-01,4.924109e-01,2.140834e-01
1.395955e-07,139.595475,2.791910e+00,7.163556e+06,7.163556e-03,5.000000e-08,6.732955e+19,9.915001e-01,5.726933e-01,4.947042e-01,2.004792e-01
1.496330e-07,149.633050,2.992661e+00,6.683016e+06,6.683016e-03,5.000000e-08,6.732955e+19,9.941714e-01,5.481989e-01,4.963733e-01,1.836544e-01
1.603924e-07,160.392373,3.207847e+00,6.234710e+06,6.234710e-03,5.000000e-08,6.732955e+19,9.960667e-01,5.190898e-01,4.975549e-01,1.642163e-01
1.719253e-07,171.925343,3.438507e+00,5.816478e+06,5.816478e-03,5.000000e-08,6.732955e+19,9.973710e-01,4.859705e-01,4.983668e-01,1.429746e-01
1.842876e-07,184.287588,3.685752e+00,5.426301e+06,5.426301e-03,5.000000e-08,6.732955e+19,9.982400e-01,4.495802e-01,4.989071e-01,1.208975e-01
1.975387e-07,197.538737,3.950775e+00,5.062298e+06,5.062298e-03,5.000000e-08,6.732955e+19,9.987994e-01,4.107619e-01,4.992547e-01,9.902938e-02
2.117427e-07,211.742706,4.234854e+00,4.722713e+06,4.722713e-03,5.000000e-08,6.732955e+19,9.991464e-01,3.704256e-01,4.994702e-01,7.837987e-02
2.269680e-07,226.968007,4.539360e+00,4.405907e+06,4.405907e-03,5.000000e-08,6.732955e+19,9.993533e-01,3.295081e-01,4.995986e-01,5.980202e-02
2.432881e-07,243.288080,4.865762e+00,4.110353e+06,4.110353e-03,5.000000e-08,6.732955e+19,9.994716e-01,2.889320e-01,4.996721e-01,4.389078e-02
2.607816e-07,260.781643,5.215633e+00,3.834626e+06,3.834626e-03,5.000000e-08,6.732955e+19,9.995363e-01,2.495645e-01,4.997122e-01,3.092821e-02
2.795331e-07,279.533076,5.590662e+00,3.577394e+06,3.577394e-03,5.000000e-08,6.732955e+19,9.995700e-01,2.121796e-01,4.997331e-01,2.088930e-02
2.996328e-07,299.632825,5.992657e+00,3.337418e+06,3.337418e-03,5.000000e-08,6.732955e+19,9.995866e-01,1.774261e-01,4.997435e-01,1.350192e-02
