d_m,d_nm,d_hat,xi_m,z_hat,z_m,rho_norm,depletion
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.00000000e+00
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.00125031e-04,2.50062516e-11,4.82116603e-04,9.99517883e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.00025006e-03,5.00125031e-11,9.64197571e-04,9.99035802e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.50037509e-03,7.50187547e-11,1.44624261e-03,9.98553757e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.00050013e-03,1.00025006e-10,1.92825143e-03,9.98071749e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.50062516e-03,1.25031258e-10,2.41022374e-03,9.97589776e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.00075019e-03,1.50037509e-10,2.89215924e-03,9.97107841e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.50087522e-03,1.75043761e-10,3.37405765e-03,9.96625942e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.00100025e-03,2.00050013e-10,3.85591866e-03,9.96144081e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.50112528e-03,2.25056264e-10,4.33774199e-03,9.95662258e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.00125031e-03,2.50062516e-10,4.81952735e-03,9.95180473e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.50137534e-03,2.75068767e-10,5.30127444e-03,9.94698726e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.00150038e-03,3.00075019e-10,5.78298297e-03,9.94217017e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.50162541e-03,3.25081270e-10,6.26465265e-03,9.93735347e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.00175044e-03,3.50087522e-10,6.74628318e-03,9.93253717e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,7.50187547e-03,3.75093773e-10,7.22787428e-03,9.92772126e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.00200050e-03,4.00100025e-10,7.70942564e-03,9.92290574e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,8.50212553e-03,4.25106277e-10,8.19093698e-03,9.91809063e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.00225056e-03,4.50112528e-10,8.67240801e-03,9.91327592e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,9.50237559e-03,4.75118780e-10,9.15383842e-03,9.90846162e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.00025006e-02,5.00125031e-10,9.63522794e-03,9.90364772e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.05026257e-02,5.25131283e-10,1.01165763e-02,9.89883424e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.10027507e-02,5.50137534e-10,1.05978831e-02,9.89402117e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.15028757e-02,5.75143786e-10,1.10791481e-02,9.88920852e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.20030008e-02,6.00150038e-10,1.15603711e-02,9.88439629e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.25031258e-02,6.25156289e-10,1.20415517e-02,9.87958448e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.30032508e-02,6.50162541e-10,1.25226897e-02,9.87477310e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.35033758e-02,6.75168792e-10,1.30037847e-02,9.86996215e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.40035009e-02,7.00175044e-10,1.34848365e-02,9.86515164e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.45036259e-02,7.25181295e-10,1.39658447e-02,9.86034155e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.50037509e-02,7.50187547e-10,1.44468091e-02,9.85553191e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.55038760e-02,7.75193798e-10,1.49277294e-02,9.85072271e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.60040010e-02,8.00200050e-10,1.54086052e-02,9.84591395e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.65041260e-02,8.25206302e-10,1.58894364e-02,9.84110564e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.70042511e-02,8.50212553e-10,1.63702225e-02,9.83629777e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.75043761e-02,8.75218805e-10,1.68509634e-02,9.83149037e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.80045011e-02,9.00225056e-10,1.73316586e-02,9.82668341e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.85046262e-02,9.25231308e-10,1.78123080e-02,9.82187692e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.90047512e-02,9.50237559e-10,1.82929112e-02,9.81707089e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,1.95048762e-02,9.75243811e-10,1.87734680e-02,9.81226532e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.00050013e-02,1.00025006e-09,1.92539780e-02,9.80746022e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.05051263e-02,1.02525631e-09,1.97344409e-02,9.80265559e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.10052513e-02,1.05026257e-09,2.02148565e-02,9.79785143e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.15053763e-02,1.07526882e-09,2.06952245e-02,9.79304776e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.20055014e-02,1.10027507e-09,2.11755445e-02,9.78824456e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.25056264e-02,1.12528132e-09,2.16558163e-02,9.78344184e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.30057514e-02,1.15028757e-09,2.21360395e-02,9.77863960e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.35058765e-02,1.17529382e-09,2.26162140e-02,9.77383786e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.40060015e-02,1.20030008e-09,2.30963394e-02,9.76903661e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.45061265e-02,1.22530633e-09,2.35764153e-02,9.76423585e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.50062516e-02,1.25031258e-09,2.40564416e-02,9.75943558e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.55063766e-02,1.27531883e-09,2.45364179e-02,9.75463582e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.60065016e-02,1.30032508e-09,2.50163439e-02,9.74983656e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.65066267e-02,1.32533133e-09,2.54962194e-02,9.74503781e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.70067517e-02,1.35033758e-09,2.59760440e-02,9.74023956e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.75068767e-02,1.37534384e-09,2.64558174e-02,9.73544183e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.80070018e-02,1.40035009e-09,2.69355394e-02,9.73064461e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.85071268e-02,1.42535634e-09,2.74152096e-02,9.72584790e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.90072518e-02,1.45036259e-09,2.78948278e-02,9.72105172e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,2.95073768e-02,1.47536884e-09,2.83743937e-02,9.71625606e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.00075019e-02,1.50037509e-09,2.88539070e-02,9.71146093e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.05076269e-02,1.52538135e-09,2.93333673e-02,9.70666633e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.10077519e-02,1.55038760e-09,2.98127745e-02,9.70187226e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.15078770e-02,1.57539385e-09,3.02921281e-02,9.69707872e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.20080020e-02,1.60040010e-09,3.07714279e-02,9.69228572e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.25081270e-02,1.62540635e-09,3.12506737e-02,9.68749326e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.30082521e-02,1.65041260e-09,3.17298651e-02,9.68270135e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.35083771e-02,1.67541885e-09,3.22090018e-02,9.67790998e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.40085021e-02,1.70042511e-09,3.26880835e-02,9.67311916e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.45086272e-02,1.72543136e-09,3.31671100e-02,9.66832890e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.50087522e-02,1.75043761e-09,3.36460810e-02,9.66353919e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.55088772e-02,1.77544386e-09,3.41249960e-02,9.65875004e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.60090023e-02,1.80045011e-09,3.46038550e-02,9.65396145e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.65091273e-02,1.82545636e-09,3.50826575e-02,9.64917342e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.70092523e-02,1.85046262e-09,3.55614033e-02,9.64438597e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.75093773e-02,1.87546887e-09,3.60400921e-02,9.63959908e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.80095024e-02,1.90047512e-09,3.65187236e-02,9.63481276e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.85096274e-02,1.92548137e-09,3.69972974e-02,9.63002703e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.90097524e-02,1.95048762e-09,3.74758134e-02,9.62524187e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,3.95098775e-02,1.97549387e-09,3.79542712e-02,9.62045729e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.00100025e-02,2.00050013e-09,3.84326705e-02,9.61567329e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.05101275e-02,2.02550638e-09,3.89110110e-02,9.61088989e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.10102526e-02,2.05051263e-09,3.93892925e-02,9.60610707e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.15103776e-02,2.07551888e-09,3.98675146e-02,9.60132485e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.20105026e-02,2.10052513e-09,4.03456771e-02,9.59654323e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.25106277e-02,2.12553138e-09,4.08237796e-02,9.59176220e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.30107527e-02,2.15053763e-09,4.13018218e-02,9.58698178e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.35108777e-02,2.17554389e-09,4.17798036e-02,9.58220196e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.40110028e-02,2.20055014e-09,4.22577245e-02,9.57742276e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.45111278e-02,2.22555639e-09,4.27355843e-02,9.57264416e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.50112528e-02,2.25056264e-09,4.32133826e-02,9.56786617e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.55113778e-02,2.27556889e-09,4.36911193e-02,9.56308881e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,4.60115029e-02,2.30057514e-09,4.41687940e-02,9.55831206e-01
