xi_m,rs_hat,sigma_hat,delta_max,depletion_join,newton_at_hydro_ref,f_empirical,f_profile,alpha_g_cal,alpha_g_profile,newton_after_cal,newton_after_profile,solver
5e-08,0.5,nan,0.4154314565701105,0.08165467715755448,0.9893639281971373,1.0,1.0107504139778416,3.517672939590762e-36,3.517672939590762e-36,0.9893639281971373,0.9893639281971373,analytic
5e-08,0.5,0.4,0.0815972222222221,0.0815972222222221,0.991005908464758,1.010569569030722,1.0090757193861493,3.554853226553269e-36,3.5495983520827385e-36,1.0014804138241278,1.0000000000000009,v3
5e-08,0.5,0.6,0.0815972222222221,0.0815972222222221,0.991005908464758,1.010569569030722,1.0090757193861493,3.554853226553269e-36,3.5495983520827385e-36,1.0014804138241278,1.0000000000000009,v3
5e-08,0.5,0.8,0.0815972222222221,0.0815972222222221,0.991005908464758,1.010569569030722,1.0090757193861493,3.554853226553269e-36,3.5495983520827385e-36,1.0014804138241278,1.0000000000000009,v3
5e-08,1.0,nan,0.7200091184033661,0.15983213413617703,0.9787208773836152,1.0,1.021741768371458,3.517672939590762e-36,3.517672939590762e-36,0.9787208773836152,0.9787208773836152,analytic
5e-08,1.0,0.4,0.9806474610219315,0.15972222222222232,0.9820055263813441,1.021373885253641,1.0183242080978556,3.592859277361413e-36,3.582131510556018e-36,1.0029947998206605,0.9999999999999973,v3
5e-08,1.0,0.6,0.9806433541454748,0.15972222222222232,0.9820055263813441,1.021373885253641,1.0183242080978556,3.592859277361413e-36,3.582131510556018e-36,1.0029947998206605,0.9999999999999973,v3
5e-08,1.0,0.8,0.980639246834476,0.15972222222222232,0.9820055263813441,1.021373885253641,1.0183242080978556,3.592859277361413e-36,3.582131510556018e-36,1.0029947998206605,0.9999999999999973,v3
5e-08,2.0,nan,0.7349483565587376,0.3057553875566259,0.9574347757565342,1.0,1.0444575707100592,3.517672939590762e-36,3.517672939590762e-36,0.9574347757565342,0.9574347757565342,analytic
5e-08,2.0,0.4,0.30555555555555547,0.30555555555555547,0.964004762214572,1.043690735252255,1.0373392738255125,3.671362656698444e-36,3.649020292710737e-36,1.0061228390624002,0.999999999999999,v3
5e-08,2.0,0.6,0.30555555555555547,0.30555555555555547,0.964004762214572,1.043690735252255,1.0373392738255125,3.671362656698444e-36,3.649020292710737e-36,1.0061228390624002,0.999999999999999,v3
5e-08,2.0,0.8,0.30555555555555547,0.30555555555555547,0.964004762214572,1.043690735252255,1.0373392738255125,3.671362656698444e-36,3.649020292710737e-36,1.0061228390624002,0.999999999999999,v3
