source,alpha_max,alpha_pct,kappa,vs_moderate_floor,notes
Paper 2 derived (κ=0.12 benchmark),0.013124296708988015,1.3124296708988015,0.12,0.35185782061630066,mode sum + joint fit
Preferred κ low (0.5× classical),0.0010661642370627604,0.10661642370627604,0.009748309664464785,0.02858349161026167,Tier 1.2c preferred band
Preferred κ mid (classical),0.0021323284741255207,0.21323284741255208,0.01949661932892957,0.05716698322052334,Tier 1.2c preferred band
Preferred κ high (CM cap),0.0021323284741260984,0.21323284741260984,0.01949661932893485,0.05716698322053883,Tier 1.2c preferred band
Grain model: classical e²/(mω₀²),0.002132328474125521,0.2132328474125521,0.019496619328929574,0.057166983220523354,κ ∝ ξ⁰ (cancels); analytic κ=1.9497e-02; primary preferred model
Grain model: E_ξ dipole e²c²ξ²/(ℏc_s),3.832882517776576e+21,3.832882517776576e+23,3.504537517947158e+22,1.0275824444441223e+23,κ ∝ ξ⁻¹; scales down at large ξ
Grain model: α_fs (m_e/m_grain)a₀³,0.0011431110633250583,0.11431110633250584,0.010451861203737152,0.030646409204425157,κ ∝ ξ (unstable small ξ); upper bracket only at ξ ≳ 50 nm
90% power floor — optimistic (σ=0.005),0.0188,1.8800000000000001,0.17189492511663546,0.5040214477211796,ch_threshold_power_study.py
90% power floor — moderate (σ=0.010),0.0373,3.73,0.3410468461090693,1.0,ch_threshold_power_study.py
90% power floor — conservative (σ=0.020),0.0741,7.41,0.6775220186778025,1.9865951742627346,ch_threshold_power_study.py
Paper 1 illustrative demo,0.12,12.0,1.097255449528076,3.2171581769436997,not derived; demo only
