d_m,d_nm,k_per_nm,chi_bulk,F_over_F_Cas,delta_F_over_F_Cas,method,delta_F_over_F_Cas_toy,delta_F_over_F_Cas_modesum,F_Cas_N,kappa,xi_m
4.000000e-08,40.000000,2.500000e-02,7.259974e-02,1.00784724e+00,7.84723613e-03,both,3.81405623e-03,7.84723613e-03,5.078616e-04,1.200000e-01,5.000000e-08
4.287619e-08,42.876189,2.332297e-02,8.378215e-02,1.00893215e+00,8.93215263e-03,both,4.31952029e-03,8.93215263e-03,3.846986e-04,1.200000e-01,5.000000e-08
4.595919e-08,45.959190,2.175843e-02,9.606100e-02,1.01008376e+00,1.00837569e-02,both,4.84810193e-03,1.00837569e-02,2.914043e-04,1.200000e-01,5.000000e-08
4.926387e-08,49.263873,2.029885e-02,1.093532e-01,1.01128105e+00,1.12810542e-02,both,5.38738156e-03,1.12810542e-02,2.207350e-04,1.200000e-01,5.000000e-08
5.280618e-08,52.806178,1.893718e-02,1.235098e-01,1.01249561e+00,1.24956059e-02,both,5.92124307e-03,1.24956059e-02,1.672039e-04,1.200000e-01,5.000000e-08
5.660319e-08,56.603192,1.766685e-02,1.383082e-01,1.01369169e+00,1.36916853e-02,both,6.43014350e-03,1.36916853e-02,1.266548e-04,1.200000e-01,5.000000e-08
6.067323e-08,60.673229,1.648173e-02,1.534482e-01,1.01482725e+00,1.48272478e-02,both,6.89185075e-03,1.48272478e-02,9.593939e-05,1.200000e-01,5.000000e-08
6.503592e-08,65.035921,1.537612e-02,1.685540e-01,1.01585581e+00,1.58558128e-02,both,7.28268769e-03,1.58558128e-02,7.267285e-05,1.200000e-01,5.000000e-08
6.971231e-08,69.712311,1.434467e-02,1.831836e-01,1.01672922e+00,1.67292160e-02,both,7.57923782e-03,1.67292160e-02,5.504875e-05,1.200000e-01,5.000000e-08
7.472496e-08,74.724956,1.338241e-02,1.968434e-01,1.01740103e+00,1.74010253e-02,both,7.76037093e-03,1.74010253e-02,4.169872e-05,1.200000e-01,5.000000e-08
8.009803e-08,80.098033,1.248470e-02,2.090099e-01,1.01783026e+00,1.78302621e-02,both,7.80936012e-03,1.78302621e-02,3.158624e-05,1.200000e-01,5.000000e-08
8.585746e-08,85.857461,1.164721e-02,2.191546e-01,1.01798498e+00,1.79849789e-02,both,7.71581014e-03,1.79849789e-02,2.392617e-05,1.200000e-01,5.000000e-08
9.203102e-08,92.031018,1.086590e-02,2.267706e-01,1.01784525e+00,1.78452460e-02,both,7.47711803e-03,1.78452460e-02,1.812377e-05,1.200000e-01,5.000000e-08
9.864848e-08,98.648483,1.013700e-02,2.313997e-01,1.01740519e+00,1.74051928e-02,both,7.09924353e-03,1.74051928e-02,1.372852e-05,1.200000e-01,5.000000e-08
1.057418e-07,105.741775,9.457000e-03,2.326593e-01,1.01667391e+00,1.66739121e-02,both,6.59666337e-03,1.66739121e-02,1.039918e-05,1.200000e-01,5.000000e-08
1.133451e-07,113.345109,8.822613e-03,2.302687e-01,1.01567521e+00,1.56752102e-02,both,5.99149569e-03,1.56752102e-02,7.877243e-06,1.200000e-01,5.000000e-08
1.214952e-07,121.495158,8.230781e-03,2.240755e-01,1.01444633e+00,1.44463267e-02,both,5.31188300e-03,1.44463267e-02,5.966910e-06,1.200000e-01,5.000000e-08
1.302312e-07,130.231234,7.678650e-03,2.140834e-01,1.01303582e+00,1.30358171e-02,both,4.58979890e-03,1.30358171e-02,4.519858e-06,1.200000e-01,5.000000e-08
1.395955e-07,139.595475,7.163556e-03,2.004792e-01,1.01150078e+00,1.15007834e-02,both,3.85849007e-03,1.15007834e-02,3.423734e-06,1.200000e-01,5.000000e-08
1.496330e-07,149.633050,6.683016e-03,1.836544e-01,1.00990357e+00,9.90357204e-03,both,3.14979110e-03,9.90357204e-03,2.593434e-06,1.200000e-01,5.000000e-08
1.603924e-07,160.392373,6.234710e-03,1.642163e-01,1.00830799e+00,8.30799498e-03,both,2.49156465e-03,8.30799498e-03,1.964493e-06,1.200000e-01,5.000000e-08
1.719253e-07,171.925343,5.816478e-03,1.429746e-01,1.00677513e+00,6.77512665e-03,both,1.90553367e-03,6.77512665e-03,1.488078e-06,1.200000e-01,5.000000e-08
1.842876e-07,184.287588,5.426301e-03,1.208975e-01,1.00535885e+00,5.35885319e-03,both,1.40577612e-03,5.35885319e-03,1.127200e-06,1.200000e-01,5.000000e-08
1.975387e-07,197.538737,5.062298e-03,9.902938e-02,1.00410160e+00,4.10159627e-03,both,9.98121247e-04,4.10159627e-03,8.538396e-07,1.200000e-01,5.000000e-08
2.117427e-07,211.742706,4.722713e-03,7.837987e-02,1.00303091e+00,3.03090688e-03,both,6.80585430e-04,3.03090688e-03,6.467725e-07,1.200000e-01,5.000000e-08
2.269680e-07,226.968007,4.405907e-03,5.980202e-02,1.00215774e+00,2.15773976e-03,both,4.44800101e-04,2.15773976e-03,4.899218e-07,1.200000e-01,5.000000e-08
2.432881e-07,243.288080,4.110353e-03,4.389078e-02,1.00147700e+00,1.47700145e-03,both,2.78154308e-04,1.47700145e-03,3.711095e-07,1.200000e-01,5.000000e-08
2.607816e-07,260.781643,3.834626e-03,3.092821e-02,1.00097040e+00,9.70403183e-04,both,1.66190025e-04,9.70403183e-04,2.811107e-07,1.200000e-01,5.000000e-08
2.795331e-07,279.533076,3.577394e-03,2.088930e-02,1.00061097e+00,6.10966098e-04,both,9.47466143e-05,6.10966098e-04,2.129377e-07,1.200000e-01,5.000000e-08
2.996328e-07,299.632825,3.337418e-03,1.350192e-02,1.00036806e+00,3.68059993e-04,both,5.14810819e-05,3.68059993e-04,1.612976e-07,1.200000e-01,5.000000e-08
3.211778e-07,321.177842,3.113540e-03,8.338637e-03,1.00021184e+00,2.11835667e-04,both,2.66282268e-05,2.11835667e-04,1.221808e-07,1.200000e-01,5.000000e-08
3.442720e-07,344.272047,2.904680e-03,4.912629e-03,1.00011629e+00,1.16294959e-04,both,1.30945165e-05,1.16294959e-04,9.255040e-08,1.200000e-01,5.000000e-08
3.690268e-07,369.026834,2.709830e-03,2.755980e-03,1.00006079e+00,6.07901256e-05,both,6.11296836e-06,6.07901256e-05,7.010574e-08,1.200000e-01,5.000000e-08
3.955616e-07,395.561608,2.528051e-03,1.469299e-03,1.00003020e+00,3.01957854e-05,both,2.70450437e-06,3.01957854e-05,5.310420e-08,1.200000e-01,5.000000e-08
4.240044e-07,424.004357,2.358466e-03,7.427315e-04,1.00001422e+00,1.42205515e-05,both,1.13169796e-06,1.42205515e-05,4.022574e-08,1.200000e-01,5.000000e-08
4.544923e-07,454.492275,2.200257e-03,3.550842e-04,1.00000633e+00,6.33333709e-06,both,4.46869451e-07,6.33333709e-06,3.047048e-08,1.200000e-01,5.000000e-08
4.871724e-07,487.172418,2.052661e-03,1.600902e-04,1.00000266e+00,2.65980000e-06,both,1.66071480e-07,2.65980000e-06,2.308100e-08,1.200000e-01,5.000000e-08
5.222024e-07,522.202418,1.914966e-03,6.784931e-05,1.00000105e+00,1.04996915e-06,both,5.79134862e-08,1.04996915e-06,1.748356e-08,1.200000e-01,5.000000e-08
5.597512e-07,559.751240,1.786508e-03,2.693612e-05,1.00000039e+00,3.88216618e-07,both,1.88877827e-08,3.88216618e-07,1.324357e-08,1.200000e-01,5.000000e-08
6.000000e-07,600.000000,1.666667e-03,9.977768e-06,1.00000013e+00,1.33917846e-07,both,5.73952352e-09,1.33917846e-07,1.003183e-08,1.200000e-01,5.000000e-08
