d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
5.000000e-08,50.000000,1.123109e-01,1.51253067e-02,1.01512531e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
5.577889e-08,55.778894,1.351421e-01,1.44722260e-02,1.01447223e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.155779e-08,61.557789,1.566135e-01,1.37668856e-02,1.01376689e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
6.733668e-08,67.336683,1.759681e-01,1.30147682e-02,1.01301477e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.311558e-08,73.115578,1.926959e-01,1.22216822e-02,1.01222168e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.889447e-08,78.894472,2.065113e-01,1.13937083e-02,1.01139371e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.467337e-08,84.673367,2.173123e-01,1.05371424e-02,1.01053714e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.045226e-08,90.452261,2.251354e-01,9.65843766e-03,1.00965844e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
9.623116e-08,96.231156,2.301147e-01,8.76414488e-03,1.00876414e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.020101e-07,102.010050,2.324483e-01,7.86085288e-03,1.00786085e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.077889e-07,107.788945,2.323730e-01,6.95512849e-03,1.00695513e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.135678e-07,113.567839,2.301462e-01,6.05345745e-03,1.00605346e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.193467e-07,119.346734,2.260325e-01,5.16218651e-03,1.00516219e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.251256e-07,125.125628,2.202960e-01,4.28746740e-03,1.00428747e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.309045e-07,130.904523,2.131937e-01,3.43520319e-03,1.00343520e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.366834e-07,136.683417,2.049721e-01,2.61099757e-03,1.00261100e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.424623e-07,142.462312,1.958639e-01,1.82010751e-03,1.00182011e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.482412e-07,148.241206,1.860866e-01,1.06739983e-03,1.00106740e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.540201e-07,154.020101,1.758403e-01,3.57312024e-04,1.00035731e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.597990e-07,159.798995,1.653074e-01,-3.06182273e-04,9.99693818e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.655779e-07,165.577889,1.546510e-01,-9.19602906e-04,9.99080397e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.713568e-07,171.356784,1.440150e-01,-1.47998758e-03,9.98520012e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.771357e-07,177.135678,1.335242e-01,-1.98491088e-03,9.98015089e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.829146e-07,182.914573,1.232838e-01,-2.43249768e-03,9.97567502e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.886935e-07,188.693467,1.133807e-01,-2.82143104e-03,9.97178569e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
1.944724e-07,194.472362,1.038844e-01,-3.15095435e-03,9.96849046e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
