d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
5.000000e-08,50.000000,1.123109e-01,1.14530292e-02,1.01145303e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.23993931e-03
5.577889e-08,55.778894,1.351421e-01,1.33143337e-02,1.01331433e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,1.73440932e-03
6.155779e-08,61.557789,1.566135e-01,1.48792082e-02,1.01487921e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.27212880e-03
6.733668e-08,67.336683,1.759681e-01,1.60980647e-02,1.01609806e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,2.82363999e-03
7.311558e-08,73.115578,1.926959e-01,1.69564944e-02,1.01695649e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.35964284e-03
7.889447e-08,78.894472,2.065113e-01,1.74671595e-02,1.01746716e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.85366547e-03
8.467337e-08,84.673367,2.173123e-01,1.76608767e-02,1.01766088e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.28375043e-03
9.045226e-08,90.452261,2.251354e-01,1.75786746e-02,1.01757867e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.63328350e-03
9.623116e-08,96.231156,2.301147e-01,1.72656153e-02,1.01726562e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.89118191e-03
1.020101e-07,102.010050,2.324483e-01,1.67664890e-02,1.01676649e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.05165514e-03
1.077889e-07,107.788945,2.323730e-01,1.61231285e-02,1.01612313e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.11370615e-03
1.135678e-07,113.567839,2.301462e-01,1.53729636e-02,1.01537296e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,5.08048946e-03
1.193467e-07,119.346734,2.260325e-01,1.45484403e-02,1.01454844e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.95860050e-03
1.251256e-07,125.125628,2.202960e-01,1.36769969e-02,1.01367700e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.75734245e-03
1.309045e-07,130.904523,2.131937e-01,1.27813638e-02,1.01278136e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.48800020e-03
1.366834e-07,136.683417,2.049721e-01,1.18800286e-02,1.01188003e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,4.16314244e-03
1.424623e-07,142.462312,1.958639e-01,1.09877616e-02,1.01098776e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.79596932e-03
1.482412e-07,148.241206,1.860866e-01,1.01161388e-02,1.01011614e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,3.39972090e-03
