d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
5.000000e-08,50.000000,1.123109e-01,5.44033085e-02,1.05440331e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,-1.72428220e-03
5.577889e-08,55.778894,1.351421e-01,6.33119144e-02,1.06331191e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,9.15305312e-04
6.155779e-08,61.557789,1.566135e-01,7.08274034e-02,1.07082740e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,4.49789427e-03
6.733668e-08,67.336683,1.759681e-01,7.67062440e-02,1.07670624e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,8.78221182e-03
7.311558e-08,73.115578,1.926959e-01,8.08712714e-02,1.08087127e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.34459585e-02
7.889447e-08,78.894472,2.065113e-01,8.33744543e-02,1.08337445e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.81328006e-02
8.467337e-08,84.673367,2.173123e-01,8.43554595e-02,1.08435546e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.24947698e-02
9.045226e-08,90.452261,2.251354e-01,8.40044345e-02,1.08400443e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.62255351e-02
9.623116e-08,96.231156,2.301147e-01,8.25328202e-02,1.08253282e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.90831658e-02
1.020101e-07,102.010050,2.324483e-01,8.01527988e-02,1.08015280e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.09028963e-02
1.077889e-07,107.788945,2.323730e-01,7.70642667e-02,1.07706427e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.16012834e-02
1.135678e-07,113.567839,2.301462e-01,7.34476041e-02,1.07344760e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.11734170e-02
1.193467e-07,119.346734,2.260325e-01,6.94605222e-02,1.06946052e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.96848213e-02
1.251256e-07,125.125628,2.202960e-01,6.52375597e-02,1.06523756e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.72595695e-02
1.309045e-07,130.904523,2.131937e-01,6.08911540e-02,1.06089115e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.40660094e-02
1.366834e-07,136.683417,2.049721e-01,5.65135445e-02,1.05651354e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,2.03013691e-02
1.424623e-07,142.462312,1.958639e-01,5.21790218e-02,1.05217902e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.61763914e-02
1.482412e-07,148.241206,1.860866e-01,4.79462300e-02,1.04794623e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,1.19009905e-02
1.540201e-07,154.020101,1.758403e-01,4.38603573e-02,1.04386036e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,7.67174868e-03
1.597990e-07,159.798995,1.653074e-01,3.99551370e-02,1.03995514e+00,4.000000e-02,3.141593e-07,5.668356e-01,5.000000e-08,3.66185195e-03
