d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
5.000000e-08,50.000000,1.123109e-01,1.15654450e-02,1.01156544e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.462185e-08,54.621849,1.306511e-01,1.31097362e-02,1.01310974e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
5.924370e-08,59.243697,1.482328e-01,1.44751207e-02,1.01447512e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
6.386555e-08,63.865546,1.646304e-01,1.56285845e-02,1.01562858e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
6.848739e-08,68.487395,1.795205e-01,1.65525694e-02,1.01655257e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
7.310924e-08,73.109244,1.926791e-01,1.72428506e-02,1.01724285e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
7.773109e-08,77.731092,2.039714e-01,1.77057754e-02,1.01770578e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
8.235294e-08,82.352941,2.133378e-01,1.79553934e-02,1.01795539e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
8.697479e-08,86.974790,2.207790e-01,1.80108290e-02,1.01801083e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
9.159664e-08,91.596639,2.263417e-01,1.78940762e-02,1.01789408e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
9.621849e-08,96.218487,2.301067e-01,1.76282765e-02,1.01762828e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.008403e-07,100.840336,2.321784e-01,1.72364548e-02,1.01723645e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.054622e-07,105.462185,2.326768e-01,1.67406535e-02,1.01674065e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.100840e-07,110.084034,2.317315e-01,1.61613840e-02,1.01616138e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.147059e-07,114.705882,2.294769e-01,1.55173215e-02,1.01551732e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.193277e-07,119.327731,2.260489e-01,1.48251738e-02,1.01482517e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.239496e-07,123.949580,2.215824e-01,1.40996706e-02,1.01409967e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.285714e-07,128.571429,2.162095e-01,1.33536317e-02,1.01335363e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.331933e-07,133.193277,2.100581e-01,1.25980811e-02,1.01259808e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.378151e-07,137.815126,2.032511e-01,1.18423873e-02,1.01184239e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.424370e-07,142.436975,1.959055e-01,1.10944134e-02,1.01109441e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.470588e-07,147.058824,1.881315e-01,1.03606680e-02,1.01036067e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.516807e-07,151.680672,1.800326e-01,9.64645032e-03,1.00964645e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.563025e-07,156.302521,1.717050e-01,8.95598764e-03,1.00895599e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.609244e-07,160.924370,1.632371e-01,8.29256203e-03,1.00829256e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.655462e-07,165.546218,1.547094e-01,7.65862704e-03,1.00765863e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.701681e-07,170.168067,1.461948e-01,7.05591413e-03,1.00705591e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.747899e-07,174.789916,1.377579e-01,6.48552952e-03,1.00648553e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.794118e-07,179.411765,1.294557e-01,5.94804217e-03,1.00594804e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.840336e-07,184.033613,1.213374e-01,5.44356350e-03,1.00544356e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.886555e-07,188.655462,1.134446e-01,4.97181970e-03,1.00497182e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.932773e-07,193.277311,1.058120e-01,4.53221692e-03,1.00453222e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
1.978992e-07,197.899160,9.846753e-02,4.12390012e-03,1.00412390e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.025210e-07,202.521008,9.143274e-02,3.74580571e-03,1.00374581e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.071429e-07,207.142857,8.472348e-02,3.39670852e-03,1.00339671e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.117647e-07,211.764706,7.835034e-02,3.07526342e-03,1.00307526e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.163866e-07,216.386555,7.231919e-02,2.78004171e-03,1.00278004e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.210084e-07,221.008403,6.663176e-02,2.50956286e-03,1.00250956e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.256303e-07,225.630252,6.128613e-02,2.26232161e-03,1.00226232e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.302521e-07,230.252101,5.627731e-02,2.03681102e-03,1.00203681e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.348739e-07,234.873950,5.159772e-02,1.83154159e-03,1.00183154e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.394958e-07,239.495798,4.723763e-02,1.64505694e-03,1.00164506e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.441176e-07,244.117647,4.318563e-02,1.47594623e-03,1.00147595e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.487395e-07,248.739496,3.942900e-02,1.32285382e-03,1.00132285e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.533613e-07,253.361345,3.595408e-02,1.18448645e-03,1.00118449e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.579832e-07,257.983193,3.274655e-02,1.05961819e-03,1.00105962e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.626050e-07,262.605042,2.979172e-02,9.47093582e-04,1.00094709e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.672269e-07,267.226891,2.707476e-02,8.45829180e-04,1.00084583e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.718487e-07,271.848739,2.458092e-02,7.54813811e-04,1.00075481e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.764706e-07,276.470588,2.229564e-02,6.73107749e-04,1.00067311e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.810924e-07,281.092437,2.020470e-02,5.99841041e-04,1.00059984e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.857143e-07,285.714286,1.829436e-02,5.34211183e-04,1.00053421e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.903361e-07,290.336134,1.655140e-02,4.75480287e-04,1.00047548e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.949580e-07,294.957983,1.496319e-02,4.22971910e-04,1.00042297e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
2.995798e-07,299.579832,1.351772e-02,3.76067636e-04,1.00037607e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.042017e-07,304.201681,1.220365e-02,3.34203532e-04,1.00033420e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.088235e-07,308.823529,1.101030e-02,2.96866557e-04,1.00029687e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.134454e-07,313.445378,9.927662e-03,2.63590973e-04,1.00026359e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.180672e-07,318.067227,8.946386e-03,2.33954835e-04,1.00023395e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.226891e-07,322.689076,8.057765e-03,2.07576588e-04,1.00020758e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.273109e-07,327.310924,7.253716e-03,1.84111789e-04,1.00018411e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.319328e-07,331.932773,6.526758e-03,1.63250002e-04,1.00016325e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.365546e-07,336.554622,5.869982e-03,1.44711856e-04,1.00014471e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.411765e-07,341.176471,5.277023e-03,1.28246285e-04,1.00012825e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.457983e-07,345.798319,4.742028e-03,1.13627953e-04,1.00011363e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.504202e-07,350.420168,4.259627e-03,1.00654863e-04,1.00010065e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.550420e-07,355.042017,3.824902e-03,8.91461380e-05,1.00008915e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.596639e-07,359.663866,3.433355e-03,7.89399892e-05,1.00007894e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.642857e-07,364.285714,3.080878e-03,6.98918389e-05,1.00006989e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.689076e-07,368.907563,2.763728e-03,6.18726099e-05,1.00006187e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.735294e-07,373.529412,2.478495e-03,5.47671611e-05,1.00005477e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.781513e-07,378.151261,2.222078e-03,4.84728654e-05,1.00004847e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.827731e-07,382.773109,1.991661e-03,4.28983173e-05,1.00004290e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.873950e-07,387.394958,1.784688e-03,3.79621624e-05,1.00003796e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.920168e-07,392.016807,1.598841e-03,3.35920392e-05,1.00003359e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
3.966387e-07,396.638655,1.432022e-03,2.97236234e-05,1.00002972e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.012605e-07,401.260504,1.282332e-03,2.62997675e-05,1.00002630e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
4.058824e-07,405.882353,1.148055e-03,2.32697261e-05,1.00002327e+00,1.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08
